id,date,type,content,media_file
838206,2025-02-16T07:57:52+00:00,sticker,[STICKER] BAADBAADFBUAAtRbAVP-tiQ9ebBenQI,media/sticker_838206.webp
838205,2025-02-16T07:57:49+00:00,text,Go go go,
838204,2025-02-16T07:57:47+00:00,text,Keep patient and enjoy the chat event together,
838203,2025-02-16T07:57:42+00:00,text,Best project,
838202,2025-02-16T07:57:41+00:00,text,Let's go guys,
838201,2025-02-16T07:57:36+00:00,text,Hopper all Time best,
838200,2025-02-16T07:57:31+00:00,text,Let's go,
838199,2025-02-16T07:57:30+00:00,text,Good day all,
838198,2025-02-16T07:57:27+00:00,text,Hopper is the future of meme,
838197,2025-02-16T07:57:26+00:00,text,All time support,
838196,2025-02-16T07:57:17+00:00,sticker,[STICKER] BAADBAADkiUAAnAjAAFT_UtPpMLgN08C,media/sticker_838196.webp
838195,2025-02-16T07:57:17+00:00,text,Good,
838194,2025-02-16T07:57:15+00:00,text,Support Hopper together,
838193,2025-02-16T07:57:08+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,media/sticker_838193.webp
838192,2025-02-16T07:57:05+00:00,text,All Hopper warrior is good,
838191,2025-02-16T07:57:03+00:00,text,Lift for Hopper,
838190,2025-02-16T07:56:58+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,media/sticker_838190.webp
838189,2025-02-16T07:56:55+00:00,text,Hopper always shines,
838188,2025-02-16T07:56:54+00:00,text,Rights bro,
838187,2025-02-16T07:56:52+00:00,text,Together we are strong,
838186,2025-02-16T07:56:50+00:00,text,S S,
838185,2025-02-16T07:56:47+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,media/sticker_838185.webp
838184,2025-02-16T07:56:46+00:00,text,Strong community and strong team,
838183,2025-02-16T07:56:45+00:00,text,Hopper always shines,
838182,2025-02-16T07:56:35+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_838182.webp
838181,2025-02-16T07:56:34+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_838181.webp
838180,2025-02-16T07:56:32+00:00,text,Hahaha yeahhh mate,
838179,2025-02-16T07:56:30+00:00,text,Best community,
838178,2025-02-16T07:56:27+00:00,text,Lfg,
838177,2025-02-16T07:56:23+00:00,text,No miss guys,
838176,2025-02-16T07:56:14+00:00,text,Lift🚀🚀🚀🚀,
838175,2025-02-16T07:56:13+00:00,text,Wow very nice,
838174,2025-02-16T07:56:09+00:00,text,Hopper is always the greatest,
838173,2025-02-16T07:56:08+00:00,text,Good community,
838172,2025-02-16T07:56:01+00:00,text,"Amazing community,lfg everyone",
838171,2025-02-16T07:55:51+00:00,text,Keep pumping,
838170,2025-02-16T07:55:41+00:00,text,Bla bla bla,
838169,2025-02-16T07:55:20+00:00,text,Forever only,
838168,2025-02-16T07:55:10+00:00,sticker,[STICKER] BAADBQADzBAAAnX7EVWHAQABoe8hwwYC,media/sticker_838168.webp
838167,2025-02-16T07:55:06+00:00,text,"Pure Hopper energy! 🔥 Let’s keep pushing, ants! The future is ours to build together! 🚀💪",
838166,2025-02-16T07:54:44+00:00,text,Strong ant,
838165,2025-02-16T07:54:43+00:00,sticker,[STICKER] BAADBQADiRIAAoisEFWwucUEi0VcHAI,media/sticker_838165.webp
838163,2025-02-16T07:54:35+00:00,text,"I'm also finished, sir.",
838162,2025-02-16T07:54:30+00:00,text,After 1 month I think 🤔😄,
838161,2025-02-16T07:54:01+00:00,text,"Allright, the Hopper has launch something on the site, what about the airdrop ?",
838160,2025-02-16T07:53:44+00:00,text,Become cool Ant 😎,
838159,2025-02-16T07:53:36+00:00,sticker,[STICKER] CAADBQADAQcAAhnxaFY0Ge8nYnvs5AI,media/sticker_838159.webp
838158,2025-02-16T07:53:30+00:00,text,Stay positive mates,
838157,2025-02-16T07:53:06+00:00,text,Hopper is the best community,
838156,2025-02-16T07:53:01+00:00,text,Hopper always shines,
838155,2025-02-16T07:52:51+00:00,sticker,[STICKER] CAADBQADfQ4AAovC0VQEviwjwvFR_gI,media/sticker_838155.webp
838154,2025-02-16T07:52:34+00:00,text,Of course how about you,
838153,2025-02-16T07:52:24+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,media/sticker_838153.webp
838152,2025-02-16T07:52:20+00:00,text,lift everybody,
838151,2025-02-16T07:52:04+00:00,text,So I'll talk to you every day for the next 5year,
838150,2025-02-16T07:52:01+00:00,text,Future big opportunity,
838149,2025-02-16T07:52:01+00:00,text,All support guys 🚀🚀🚀,
838148,2025-02-16T07:52:00+00:00,text,Helping each other is the key to success,
838147,2025-02-16T07:51:33+00:00,sticker,[STICKER] CAADBQADoBQAAm1MiVWgVOrGbBAGGQI,media/sticker_838147.webp
838146,2025-02-16T07:51:28+00:00,text,🤣🤣,
838145,2025-02-16T07:51:26+00:00,text,Huruuuu,
838144,2025-02-16T07:51:18+00:00,text,come on,
838143,2025-02-16T07:51:10+00:00,text,u done eat mate?,
